date,cases,deaths
2/1/2020,8,0
2/2/2020,11,0
2/3/2020,11,0
2/4/2020,11,0
2/5/2020,12,0
2/6/2020,12,0
2/7/2020,12,0
2/8/2020,12,0
2/9/2020,12,0
2/10/2020,13,0
2/11/2020,13,0
2/12/2020,14,0
2/13/2020,15,0
2/14/2020,15,0
2/15/2020,15,0
2/16/2020,15,0
2/17/2020,25,0
2/18/2020,25,0
2/19/2020,25,0
2/20/2020,27,0
2/21/2020,30,0
2/22/2020,30,0
2/23/2020,30,0
2/24/2020,43,0
2/25/2020,45,0
2/26/2020,60,0
2/27/2020,60,0
2/28/2020,65,0
2/29/2020,70,1
